DEPT,GR
449.0,52.9853
450.0,52.9853
451.0,52.9853
452.0,52.9853
453.0,52.4122
454.0,46.3111
455.0,47.3623
456.0,48.6806
457.0,54.1734
458.0,56.1896
459.0,53.1063
460.0,50.4108
461.0,53.9857
462.0,54.7426
463.0,55.9535
464.0,57.2765
465.0,55.4268
466.0,53.6183
467.0,53.7829
468.0,60.8548
469.0,63.3013
470.0,62.9571
471.0,60.1966
472.0,58.7164
473.0,59.2196
474.0,55.8259
475.0,58.6883
476.0,59.8091
477.0,59.9562
478.0,61.7477
479.0,55.9714
480.0,55.3144
481.0,58.2612
482.0,59.0742
483.0,54.0802
484.0,58.7915
485.0,51.5037
486.0,52.4229
487.0,60.1408
488.0,60.7492
489.0,54.9727
490.0,53.9931
491.0,54.295
492.0,52.0163
493.0,53.2886
494.0,57.1829
495.0,52.5706
496.0,60.0296
497.0,53.948
498.0,48.9755
499.0,62.1424
500.0,53.9342
501.0,54.7064
502.0,63.3644
503.0,56.8254
504.0,53.1311
505.0,56.0654
506.0,57.3292
507.0,49.1573
508.0,54.1182
509.0,55.2455
510.0,54.2462
511.0,56.3231
512.0,64.3722
513.0,50.1073
514.0,48.6675
515.0,53.5121
516.0,52.5886
517.0,54.7144
518.0,51.4542
519.0,46.6983
520.0,54.2361
521.0,51.8646
522.0,44.5688
523.0,44.7856
524.0,52.7164
525.0,51.5077
526.0,54.735
527.0,48.9887
528.0,43.2318
529.0,43.1668
530.0,52.2304
531.0,46.8741
532.0,48.2557
533.0,50.1915
534.0,44.9754
535.0,51.1598
536.0,49.2715
537.0,72.3317
538.0,79.2077
539.0,76.3617
540.0,80.6181
541.0,80.0027
542.0,74.3028
543.0,83.1123
544.0,94.4262
545.0,90.0169
546.0,82.5543
547.0,84.7294
548.0,80.2945
549.0,87.9544
550.0,90.7136
551.0,94.8032
552.0,98.8942
553.0,97.0032
554.0,93.0734
555.0,100.8512
556.0,99.8245
557.0,90.6578
558.0,91.9001
559.0,98.126
560.0,87.432
561.0,88.051
562.0,98.4224
563.0,103.438
564.0,102.0276
565.0,95.3811
566.0,95.3355
567.0,97.7444
568.0,98.2463
569.0,99.8539
570.0,103.6973
571.0,94.2723
572.0,86.7868
573.0,93.9508
574.0,95.2132
575.0,98.5298
576.0,106.325
577.0,99.0054
578.0,99.8573
579.0,103.175
580.0,102.2259
581.0,94.6559
582.0,93.6916
583.0,99.8865
584.0,92.1017
585.0,88.4301
586.0,84.9841
587.0,92.6517
588.0,92.3386
